SpatialDim,ParentLocationCode,TimeDim,PercentHouseholdExp,TimeDimensionValue,Helper,2010 index Value Alc,2010 index Value All,2010 Price, 2010 *6M ,2010 UOM, 2010 USD conversion , Total USD All(/6M) ,Price per that year,Total Household Exp,Total Alc Market,Total Market Growth
CAN,AMR,2006,2,2006,CAN2006,95.93,95.69,926815,"5,560,890,000,000.00",CAD,1.030163,, $-   , $-   , $-   ,94.659837
ISL,EUR,1992,3.2,1992,ISL1992,#N/A,#N/A,830308.1337,"4,981,848,802,200.00",ISK,122.24,101498250.4,#N/A,#N/A,#N/A,#N/A
ISL,EUR,1993,3.1,1993,ISL1993,#N/A,#N/A,830308.1337,"4,981,848,802,200.00",ISK,122.24,101498250.4,#N/A,#N/A,#N/A,#N/A
ISL,EUR,1998,3.2,1998,ISL1998,50.61,49.21,830308.1337,"4,981,848,802,200.00",ISK,122.24,101498250.4,49947289.02,2.99684E+14,9.58988E+12,-73.03
ISL,EUR,1999,3.2,1999,ISL1999,52.19,50.85,830308.1337,"4,981,848,802,200.00",ISK,122.24,101498250.4,51611860.32,3.09671E+14,9.90948E+12,-71.39
ISL,EUR,2000,3.3,2000,ISL2000,53.81,53.86,830308.1337,"4,981,848,802,200.00",ISK,122.24,101498250.4,54666957.66,3.28002E+14,1.08241E+13,-68.38
PLW,WPR,2006,0.9,2006,PLW2006,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
ISL,EUR,2001,3.5,2001,ISL2001,56.25,58.09,830308.1337,"4,981,848,802,200.00",ISK,122.24,101498250.4,58960333.65,3.53762E+14,1.23817E+13,-64.15
ISL,EUR,2002,3.7,2002,ISL2002,58.44,61.09,830308.1337,"4,981,848,802,200.00",ISK,122.24,101498250.4,62005281.16,3.72032E+14,1.37652E+13,-61.15
JPN,WPR,2006,1.1,2006,JPN2006,#N/A,103.47,282864600,"1,697,187,600,000,000.00",JPY,87.779875,, $-   , $-   , $-   ,15.690125
ISL,EUR,2003,3.2,2003,ISL2003,59.51,61.64,830308.1337,"4,981,848,802,200.00",ISK,122.24,101498250.4,62563521.54,3.75381E+14,1.20122E+13,-60.6
ISL,EUR,2004,3,2004,ISL2004,59.65,63.72,830308.1337,"4,981,848,802,200.00",ISK,122.24,101498250.4,64674685.15,3.88048E+14,1.16414E+13,-58.52
ISL,EUR,2005,2.9,2005,ISL2005,60.95,64.45,830308.1337,"4,981,848,802,200.00",ISK,122.24,101498250.4,65415622.37,3.92494E+14,1.13823E+13,-57.79
ISL,EUR,2006,2.8,2006,ISL2006,62.32,69.04,830308.1337,"4,981,848,802,200.00",ISK,122.24,101498250.4,70074392.07,4.20446E+14,1.17725E+13,-53.2
ISL,EUR,2007,2.9,2007,ISL2007,63.92,72.27,830308.1337,"4,981,848,802,200.00",ISK,122.24,101498250.4,73352785.55,4.40117E+14,1.27634E+13,-49.97
HUN,EUR,2006,1.1,2006,HUN2006,79.26,82.2,13885374,"83,312,244,000,000.00",HUF,207.94,2887382530,2373428440,1.42406E+16,1.56646E+14,-125.74
USA,AMR,2006,1,2006,USA2006,91.65,92.92,"9,891,397.00","59,348,382,000,000.00",USD,1,, $-   , $-   , $-   ,91.92
HUN,EUR,2007,1.1,2007,HUN2007,85.07,87.63,13885374,"83,312,244,000,000.00",HUF,207.94,2887382530,2530213311,1.51813E+16,1.66994E+14,-120.31
HUN,EUR,2008,1.1,2008,HUN2008,90.3,92.59,13885374,"83,312,244,000,000.00",HUF,207.94,2887382530,2673427484,1.60406E+16,1.76446E+14,-115.35
HUN,EUR,2009,1.1,2009,HUN2009,96.92,96.42,13885374,"83,312,244,000,000.00",HUF,207.94,2887382530,2784014235,1.67041E+16,1.83745E+14,-111.52
