SpatialDim,ParentLocationCode_x,TimeDimensionValue_x,FEMALE_L_PER_CAPITA,MALE_L_PER_CAPITA,BOTH_SEX_L_PER_CAPITA,Id,IndicatorCode,SpatialDimType,TimeDimType,ParentLocationCode_y,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue_y,TimeDimensionBegin,TimeDimensionEnd
PAN,AMR,2018,3.4,12.6,8.0,5342117,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Liqueur,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
PER,AMR,2018,3.1,9.8,6.4,5342118,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Whisky,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
PHL,WPR,2018,2.8,11.0,6.9,5342119,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,WPR,Western Pacific,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Gin,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
PLW,WPR,2018,0.0,0.0,0.0,5342120,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,WPR,Western Pacific,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Whisky,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
PNG,WPR,2018,0.5,2.3,1.4,5342121,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,WPR,Western Pacific,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
POL,EUR,2018,5.6,18.4,11.7,5342122,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
PRK,SEAR,2018,1.5,6.3,3.8,5342123,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,SEAR,South-East Asia,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
PRT,EUR,2018,5.6,19.4,12.0,5342124,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Whisky,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
PRY,AMR,2018,3.2,11.9,7.6,5342125,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Liqueur,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
QAT,EMR,2018,0.4,1.9,1.6,5342127,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
ROU,EUR,2018,5.5,18.6,11.7,5342128,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
RUS,EUR,2018,4.6,19.1,11.2,5342129,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
RWA,AFR,2018,3.5,14.8,9.0,5342130,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
SAU,EMR,2018,0.0,0.3,0.2,5342131,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
SDN,EMR,2018,0.1,0.9,0.5,5342132,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
SEN,AFR,2018,0.2,1.4,0.8,5342133,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Gin,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
SGP,WPR,2018,1.0,3.1,2.0,5342134,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,WPR,Western Pacific,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
SLB,WPR,2018,0.6,3.0,1.8,5342135,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,WPR,Western Pacific,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
SLE,AFR,2018,1.6,9.9,5.7,5342136,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Whisky,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
SLV,AMR,2018,1.7,6.6,3.9,5342137,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
SMR,EUR,2018,0.0,0.0,0.0,5342138,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
SOM,EMR,2018,0.0,0.0,0.0,5342139,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
SRB,EUR,2018,3.9,13.9,8.8,5342140,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
SSD,AFR,2018,0.0,0.0,0.0,5342141,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Gin,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
STP,AFR,2018,2.6,9.3,5.9,5342142,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Whisky,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
SUR,AMR,2018,2.2,8.5,5.3,5342143,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Whisky,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
SVK,EUR,2018,5.4,17.4,11.1,5342144,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
SVN,EUR,2018,5.6,18.4,11.9,5342145,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Liqueur,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
SWE,EUR,2018,4.2,13.7,8.9,5342146,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
SWZ,AFR,2018,3.8,17.0,10.0,5342147,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Whisky,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
SYC,AFR,2018,9.5,32.0,20.5,5342148,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Rum,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
SYR,EMR,2018,0.1,0.4,0.2,5342149,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
TCD,AFR,2018,0.5,2.3,1.4,5342150,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
TGO,AFR,2018,1.0,3.9,2.5,5342151,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Whisky,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
THA,SEAR,2018,3.5,13.4,8.3,5342152,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,SEAR,South-East Asia,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,White Spirits,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
TJK,EUR,2018,1.0,5.6,3.3,5342153,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
TKM,EUR,2018,1.7,8.4,4.9,5342154,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
TLS,SEAR,2018,0.9,3.4,2.2,5342155,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,SEAR,South-East Asia,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
TON,WPR,2018,0.3,1.3,0.8,5342156,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,WPR,Western Pacific,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Gin,,,,Retail price collected as of 31 January 2023.,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
TTO,AMR,2018,3.0,10.6,6.7,5342157,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
TUN,EMR,2018,0.6,3.8,2.1,5342158,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
TUR,EUR,2018,0.6,3.6,2.1,5342159,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Raki,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
TUV,WPR,2018,0.5,2.5,1.5,5342160,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,WPR,Western Pacific,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
TZA,AFR,2018,4.1,18.8,11.3,5342161,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Distilled spirit,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
UGA,AFR,2018,5.9,24.6,15.1,5342162,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Gin,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
UKR,EUR,2018,3.7,14.0,8.3,5342163,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
URY,AMR,2018,3.4,10.8,6.9,5342164,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Whisky,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
USA,AMR,2018,4.6,15.3,9.9,5342165,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
UZB,EUR,2018,0.8,4.5,2.6,5342166,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
VCT,AMR,2018,3.7,14.4,9.1,5342167,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Rum,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
VEN,AMR,2018,1.8,6.6,4.1,5342168,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Liqueur,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
VNM,WPR,2018,3.5,14.1,8.7,5342169,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,WPR,Western Pacific,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
VUT,WPR,2018,0.8,3.7,2.3,5342170,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,WPR,Western Pacific,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
WSM,WPR,2018,0.9,4.3,2.7,5342171,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,WPR,Western Pacific,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
YEM,EMR,2018,0.0,0.1,0.1,5342172,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
ZAF,AFR,2018,3.5,15.9,9.5,5342173,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
ZMB,AFR,2018,2.6,10.6,6.5,5342174,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Whisky,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
ZWE,AFR,2018,1.6,8.0,4.7,5342175,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Brandy,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
