Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5317850,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,COL,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Liqueur,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5317847,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,COD,YEAR,AFR,Africa,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Whisky,,,,,2023-10-23T16:11:37+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5342163,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,UKR,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5342113,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,NRU,YEAR,WPR,Western Pacific,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5317833,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,BLZ,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Rum,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5317881,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,GRC,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Whisky,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5342156,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,TON,YEAR,WPR,Western Pacific,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Gin,,,,Retail price collected as of 31 January 2023.,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5317916,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,LUX,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5342125,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,PRY,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Liqueur,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5342140,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,SRB,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5317884,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,GUY,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Rum,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5317830,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,BHS,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5342172,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,YEM,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5342114,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,NZL,YEAR,WPR,Western Pacific,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5342117,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,PAN,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Liqueur,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5317886,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,HRV,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Brandy,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
