SpatialDim,ParentLocationCode,TimeDim,PercentHouseholdExp,TimeDimensionValue
THA,SEAR,2007,1.6,2007
ROU,EUR,2011,4,2011
FIN,EUR,2012,4.4,2012
FIN,EUR,1993,6.5,1993
MKD,EUR,2007,1.4,2007
CAN,AMR,1996,2,1996
GRC,EUR,2009,0.9,2009
AUS,WPR,1991,4.1,1991
AUT,EUR,2000,1.4,2000
BLR,EUR,2009,2.2,2009
NOR,EUR,2002,3.5,2002
CAN,AMR,2006,2,2006
ITA,EUR,1990,1.1,1990
GBR,EUR,1990,6.5,1990
ARM,EUR,2005,1.6,2005
CAN,AMR,2016,1.2,2016
HUN,EUR,2013,3,2013
MKD,EUR,2009,1.8,2009
MEX,AMR,2010,1.9,2010
JPN,WPR,2005,1.1,2005
AUT,EUR,2016,1.3,2016
ARM,EUR,2006,1.7,2006
TKM,EUR,1992,3.2,1992
FIN,EUR,2000,5.4,2000
ARM,EUR,2007,1.7,2007
RUS,EUR,2005,1.9,2005
NOR,EUR,1995,4.1,1995
GBR,EUR,1992,6.3,1992
AZE,EUR,2017,0.5,2017
DNK,EUR,2006,1.8,2006
FIN,EUR,1991,7,1991
FRA,EUR,2006,1.4,2006
ITA,EUR,2006,0.8,2006
GRC,EUR,2003,1,2003
BLR,EUR,2012,2.6,2012
ARM,EUR,1995,1.7,1995
AUS,WPR,1994,2.9,1994
POL,EUR,1990,8.5,1990
SVN,EUR,2009,1,2009
CAN,AMR,2011,2,2011
TJK,EUR,2013,0.1,2013
ROU,EUR,2008,4,2008
EST,EUR,2006,1.9,2006
SWE,EUR,2011,1.9,2011
AUT,EUR,2013,1.4,2013
AZE,EUR,2009,0.6,2009
DNK,EUR,2005,1.9,2005
KAZ,EUR,1992,5.4,1992
LTU,EUR,1993,2,1993
ARM,EUR,2001,1.6,2001
FIN,EUR,2014,4.2,2014
USA,AMR,1995,0.9,1995
JPN,WPR,1997,1.2,1997
FIN,EUR,1994,6.2,1994
ITA,EUR,2007,0.7,2007
SWE,EUR,2010,1.9,2010
DNK,EUR,1999,2.3,1999
FIN,EUR,2007,4.7,2007
NOR,EUR,1998,4.1,1998
UKR,EUR,1990,3.7,1990
SVN,EUR,2012,1.1,2012
NLD,EUR,2010,0.7,2010
AUT,EUR,1996,1.6,1996
SWE,EUR,2005,2.8,2005
DNK,EUR,2008,1.7,2008
NLD,EUR,2014,0.8,2014
JPN,WPR,2003,1.1,2003
ALB,EUR,2015,1.3,2015
ITA,EUR,2014,1.4,2014
DNK,EUR,2015,1.7,2015
NOR,EUR,2001,3.9,2001
EST,EUR,2002,2.1,2002
JPN,WPR,2012,1.6,2012
GRC,EUR,2005,1,2005
UKR,EUR,2007,1.7,2007
ARM,EUR,2013,1.4,2013
GBR,EUR,2000,5.8,2000
AUS,WPR,1993,2.9,1993
EST,EUR,1996,1.7,1996
USA,AMR,2004,1.1,2004
EST,EUR,2015,2.2,2015
ITA,EUR,2008,0.7,2008
THA,SEAR,2012,1.2,2012
EST,EUR,2016,2.1,2016
ITA,EUR,1996,0.9,1996
LTU,EUR,1998,3.4,1998
AZE,EUR,1990,1.3,1990
JPN,WPR,1994,1.1,1994
MKD,EUR,2015,1.2,2015
JPN,WPR,1992,1.2,1992
BTN,SEAR,2017,3.2,2017
CZE,EUR,2013,1.2,2013
SWE,EUR,2003,3,2003
ISL,EUR,2007,2.9,2007
COK,WPR,2005,1.2,2005
CAN,AMR,1992,2.2,1992
DNK,EUR,2001,2.3,2001
AUS,WPR,2010,2.6,2010
EST,EUR,1998,1.9,1998
ISL,EUR,2004,3,2004
DNK,EUR,2012,1.7,2012
SVN,EUR,2003,1,2003
LTU,EUR,1990,6.1,1990
ITA,EUR,1993,1,1993
SVN,EUR,2004,0.9,2004
CAN,AMR,1997,2,1997
HRV,EUR,2011,1.5,2011
AUT,EUR,2014,1.4,2014
ITA,EUR,1998,0.8,1998
FIN,EUR,2013,4.3,2013
USA,AMR,1990,0.9,1990
NOR,EUR,2000,3.9,2000
FIN,EUR,1990,7.1,1990
CZE,EUR,2011,1.1,2011
ARM,EUR,1996,1.3,1996
TJK,EUR,2011,0.1,2011
AUT,EUR,2007,1.3,2007
TJK,EUR,1992,2,1992
FIN,EUR,2011,4.5,2011
BLR,EUR,1990,7.4,1990
CAN,AMR,2000,2.1,2000
TJK,EUR,1991,1.7,1991
AUS,WPR,1999,2.9,1999
EST,EUR,2005,1.9,2005
JPN,WPR,1995,1.2,1995
USA,AMR,2001,0.9,2001
USA,AMR,1999,0.9,1999
KAZ,EUR,1995,2.5,1995
THA,SEAR,2013,1.1,2013
NLD,EUR,2012,0.8,2012
ISL,EUR,2002,3.7,2002
FIN,EUR,2010,4.7,2010
ROU,EUR,2000,3.8,2000
GEO,EUR,1990,1.3,1990
DNK,EUR,1998,2.3,1998
USA,AMR,2008,0.9,2008
AZE,EUR,2011,0.5,2011
MDA,EUR,1995,1.9,1995
JPN,WPR,1998,1.1,1998
KGZ,EUR,1993,2.8,1993
ARM,EUR,2010,1.8,2010
DNK,EUR,2004,1.9,2004
GRC,EUR,2008,0.9,2008
ITA,EUR,2002,0.8,2002
AUT,EUR,1998,1.5,1998
NOR,EUR,1997,4.1,1997
NOR,EUR,2007,2.8,2007
CAN,AMR,2002,2.1,2002
AUS,WPR,2004,2.6,2004
GBR,EUR,2001,5.7,2001
TJK,EUR,1990,1.8,1990
JPN,WPR,1999,1.2,1999
UKR,EUR,2013,1.5,2013
ISL,EUR,2000,3.3,2000
HUN,EUR,2009,1.1,2009
AZE,EUR,2013,0.5,2013
PHL,WPR,2012,0.6,2012
BLR,EUR,2010,2.2,2010
USA,AMR,2002,0.9,2002
PLW,WPR,2006,0.9,2006
GBR,EUR,1998,6.1,1998
ARM,EUR,1990,4,1990
JPN,WPR,2001,1.1,2001
HRV,EUR,2007,1.6,2007
